density_bin,lower_GeV_per_1000cm3,upper_GeV_per_1000cm3,representative_GeV_per_1000cm3,n_hits_calibration,sum_hit_energy_GeV_calibration,normalized_energy_share,lower_hit_energy_GeV,upper_hit_energy_GeV
0,0.0,0.7746475636959076,0.43823924202287456,13662202,26745.12697588261,0.1009282392073519,0.0,0.010457742109894752
1,0.7746475636959076,1.244343340396881,0.9903239804936382,2000374,26249.75685902685,0.09941039620521815,0.010457742109894752,0.016798635095357894
2,1.244343340396881,1.8752780556678772,1.5535582293367896,1315463,27214.133475502953,0.09984884431967897,0.016798635095357894,0.025316253751516343
3,1.8752780556678772,2.7095139026641846,2.2723322768510203,918377,27857.336321167648,0.09981734224750877,0.025316253751516343,0.03657843768596649
4,2.7095139026641846,3.880248188972473,3.26249838417624,654431,28516.38836711645,0.10020062765048196,0.03657843768596649,0.05238335055112839
5,3.880248188972473,5.548719882965088,4.664058151664017,465702,29013.42838036269,0.0999879497539497,0.05238335055112839,0.07490771842002869
6,5.548719882965088,8.170604228973389,6.760904054433328,331740,29904.462636448443,0.09989008988181505,0.07490771842002869,0.11030315709114075
7,8.170604228973389,12.657250881195068,10.225506020247327,233565,31736.16720816493,0.09998341019137466,0.11030315709114075,0.17087288689613342
8,12.657250881195068,22.16333293914795,16.786733006127008,156746,34610.69993622601,0.09996763377432252,0.17087288689613342,0.2992049946784973
9,22.16333293914795,inf,41.04649417462669,88806,42017.00946316123,0.0999654667682983,0.2992049946784973,inf
