split,energy_bin_low_GeV,energy_bin_high_GeV,method,N,mean_true_energy_GeV,mean_reco_energy_GeV,mean_response,mean_relative_bias,median_relative_bias,sigma68_residual_GeV,sigma68_residual_over_mean_true
continuous_train,5.0,10.0,S_EM_GeV,5372,7.521191117990089,5.936513037513812,0.788744551107808,-0.21125544889219205,-0.1960458265248085,0.8486281804449449,0.1128316203021479
continuous_train,5.0,10.0,C_EM_GeV,5372,7.521191117990089,4.437782134212063,0.5874327725691338,-0.4125672274308662,-0.4215132558393582,1.2611785100932307,0.16768334832983997
continuous_train,5.0,10.0,standard_DR_self_consistent_GeV,5372,7.521191117990089,7.3637468636303485,0.9800844580064977,-0.01991554199350234,-0.0032609649696124787,1.02591316816341,0.13640301809503386
continuous_train,10.0,15.0,S_EM_GeV,5522,12.505696796791874,9.830877533225134,0.786305104710263,-0.213694895289737,-0.1925595031983905,1.2281966894903231,0.09821097612133027
continuous_train,10.0,15.0,C_EM_GeV,5522,12.505696796791874,7.577090059691128,0.6057756714807804,-0.3942243285192196,-0.39568427447043303,1.8367876420628155,0.14687607351347368
continuous_train,10.0,15.0,standard_DR_self_consistent_GeV,5522,12.505696796791874,12.051260255713741,0.9639528236974372,-0.03604717630256289,-0.009560721012178086,1.4502122284906678,0.11596412835330339
continuous_train,15.0,20.0,S_EM_GeV,5554,17.50818928130754,13.799814389338133,0.788147184833185,-0.2118528151668149,-0.19050542432709355,1.5714534326072132,0.08975533719440429
continuous_train,15.0,20.0,C_EM_GeV,5554,17.50818928130754,10.81776167158747,0.6174801868359342,-0.3825198131640658,-0.38514713366076786,2.2893828962675444,0.13076068915429098
continuous_train,15.0,20.0,standard_DR_self_consistent_GeV,5554,17.50818928130754,16.83815798552275,0.9618945617387518,-0.03810543826124827,-0.007326506300878055,1.8360422714382496,0.10486762748209967
continuous_train,20.0,25.0,S_EM_GeV,5460,22.51022241568247,17.60847392740472,0.7822498198521466,-0.21775018014785336,-0.19037886726139513,2.0118897266468228,0.08937671469852626
continuous_train,20.0,25.0,C_EM_GeV,5460,22.51022241568247,13.897668967726155,0.6173028985301591,-0.382697101469841,-0.38009467281788295,2.9208979750617976,0.12975873454839168
continuous_train,20.0,25.0,standard_DR_self_consistent_GeV,5460,22.51022241568247,21.518743094973118,0.9559547427766821,-0.04404525722331794,-0.007148659359697718,2.264790310366406,0.10061163628434729
continuous_train,25.0,30.0,S_EM_GeV,5365,27.51602406726558,21.506861738588515,0.781646494892421,-0.218353505107579,-0.18932176719935823,2.3856990844683637,0.08670217320047009
continuous_train,25.0,30.0,C_EM_GeV,5365,27.51602406726558,17.14369086033551,0.6229327801867726,-0.37706721981322744,-0.3729819373179182,3.4324036479637865,0.12474199177806154
