structure,particle,energy_GeV,entries,EdepScintLayer_mean_MeV,EdepScintLayer_rms_MeV,EdepScintLayer_mean_err_MeV,EdepCherenkovLayer_mean_MeV,EdepCherenkovLayer_rms_MeV,EdepCherenkovLayer_mean_err_MeV,EdepScintLayer_mean_over_Ebeam,EdepCherenkovLayer_mean_over_Ebeam
data,e-,5,5000,456.195,19.6075,0.277292,1459.27,39.5074,0.55872,0.091239,0.291854
data,e-,10,5000,912.419,27.6097,0.39046,2917.38,58.7382,0.830683,0.0912419,0.291738
data,e-,20,5000,1825.03,38.596,0.54583,5835.96,82.4887,1.16657,0.0912517,0.291798
data,e-,30,5000,2736.06,47.5284,0.672153,8752.77,99.3605,1.40517,0.091202,0.291759
data,e-,40,5000,3648.6,56.3961,0.797561,11668.9,118.078,1.66987,0.091215,0.291724
data,e-,50,5000,4560.29,62.5275,0.884273,14582.4,140.158,1.98214,0.0912057,0.291648
data,pi-,5,5000,435.535,73.3578,1.03744,1223.81,193.676,2.739,0.0871069,0.244762
data,pi-,10,5000,854.885,136.714,1.93343,2470.98,388.366,5.49233,0.0854885,0.247098
data,pi-,20,5000,1654.59,313.952,4.43995,4825.21,916.71,12.9642,0.0827296,0.241261
data,pi-,30,5000,2463.34,461.537,6.52712,7234.4,1364.27,19.2937,0.0821113,0.241147
data,pi-,40,5000,3224.41,648.894,9.17674,9507.19,1928.68,27.2757,0.0806102,0.23768
data,pi-,50,5000,3990.94,838.9,11.8638,11822.6,2501.45,35.3758,0.0798188,0.236452
